Category,Subcategory,Item,Description,Status,Priority
Routines,Completion Tracking,Daily AM/PM completion checkboxes,,Unassigned,None
Routines,Completion Tracking,Completion rate calculation,,Unassigned,None
Routines,Completion Tracking,Streak computation (current longest active),,Unassigned,None
Routines,Completion Tracking,Completion persistence (localStorage),,Unassigned,None
Routines,Analytics & Insights,Usage event logging (created updated deleted viewed),,Unassigned,None
Routines,Analytics & Insights,Automated insights generation (consistency conflicts progress),,Unassigned,None
Routines,Analytics & Insights,Insight severity levels,,Unassigned,None
Routines,Analytics & Insights,Activity timeline (versions + notes + usage combined),,Unassigned,None
Routines,Routine Persistence,localStorage for guest users,,Unassigned,None
Routines,Routine Persistence,Supabase user_routines table for auth users,,Unassigned,None
Routines,Routine Persistence,Merge on signup (guest to account),,Unassigned,None
Routines,Routine Persistence,Routine count tracking,,Unassigned,None
Routines,Routine Persistence,Active/inactive toggle,,Unassigned,None
Routines,Routine Resume,Track last step time filter unfinished status,,Unassigned,None
Routines,Routine Resume,Resume from where user left off,,Unassigned,None
Products & Ingredients,Product Data Model,Canonical Product type (src/types/product.ts),,Unassigned,None
Products & Ingredients,Product Data Model,Fields: id name brand category price rating reviewCount image description skinTypes concerns keyIngredients inStock source size activeIngredients timeOfDay preferences,,Unassigned,None
Products & Ingredients,Product Data Model,ActiveIngredient sub-type (name concentration unit isKeyActive),,Unassigned,None
Products & Ingredients,Product Data Model,ProductCategory union type (14 categories),,Unassigned,None
Products & Ingredients,Product Data Model,ProductSource (marketplace discovery),,Unassigned,None
Products & Ingredients,Product Data Model,ProductSize (value unit),,Unassigned,None
Products & Ingredients,Product Categories (Registry),Cleanser Toner Serum Essence Moisturizer Sunscreen Treatment Eye Care Lip Care Mask Exfoliator Oil Mist Tool,,Unassigned,None
Products & Ingredients,Product Categories (Registry),getCategoryLabel() and getCategoryIcon() helpers,,Unassigned,None
Products & Ingredients,Product Matching & Similarity,scoreSimilarProducts() — weighted scoring (category concerns skin type ingredients preferences ratings),,Unassigned,None
Products & Ingredients,Product Matching & Similarity,findCompatibleProducts() — compatibility levels,,Unassigned,None
Products & Ingredients,Product Matching & Similarity,Concern matching with synonym mapping (matchesConcern),,Unassigned,None
Products & Ingredients,Product Matching & Similarity,Ingredient matching (matchesIngredient),,Unassigned,None
Products & Ingredients,Product Matching & Similarity,isProductRecommended() — boolean helper,,Unassigned,None
Products & Ingredients,Product Matching & Similarity,productMatchesUserConcerns() — array matching,,Unassigned,None
Products & Ingredients,Product Safety,assessProductSafety() — returns safe/caution/not-recommended,,Unassigned,None
Products & Ingredients,Product Safety,Allergen checking against user profile,,Unassigned,None
Products & Ingredients,Product Safety,Skin-type compatibility,,Unassigned,None
Products & Ingredients,Product Safety,Contraindication detection,,Unassigned,None
Products & Ingredients,Product Safety,Pregnancy safety flags,,Unassigned,None
Products & Ingredients,Product Metrics,Price per milliliter (PPML) calculation,,Unassigned,None
Products & Ingredients,Product Metrics,Concentration analysis,,Unassigned,None
Products & Ingredients,Product Metrics,Best/worst value comparison,,Unassigned,None
Products & Ingredients,Product Metrics,Highest concentration per ingredient,,Unassigned,None
Products & Ingredients,Product Metrics,convertToMl() calculatePPML() formatPPML(),,Unassigned,None
Products & Ingredients,Product Metadata,Skin type normalization (normalizeSkinTypes),,Unassigned,None
Products & Ingredients,Product Metadata,isSkinTypeMatch(),,Unassigned,None
Products & Ingredients,Product Metadata,"All skin type wildcard",,Unassigned,None
Products & Ingredients,Time of Day Classification,classifyTimeOfDay() — returns am pm or am/pm,,Unassigned,None
Products & Ingredients,Time of Day Classification,AM_INGREDIENTS PM_INGREDIENTS lists,,Unassigned,None
Products & Ingredients,Time of Day Classification,AM_KEYWORDS PM_KEYWORDS lists,,Unassigned,None
Products & Ingredients,Time of Day Classification,3-layer logic: keywords to ingredients to category defaults to fallback,,Unassigned,None
Products & Ingredients,Ingredient Data,Ingredient category registry (hydration brightening antiaging soothing exfoliation),,Unassigned,None
Products & Ingredients,Ingredient Data,Ingredient-to-product matching (getProductsForIngredient),,Unassigned,None
Products & Ingredients,Ingredient Data,Slug-to-name normalization map,,Unassigned,None
Products & Ingredients,Ingredient Data,Ingredient encyclopedia (in AI knowledge base),,Unassigned,None
Products & Ingredients,Ingredient Data,Pregnancy-unsafe ingredient list,,Unassigned,None
Products & Ingredients,Ingredient Data,Advanced ingredient list,,Unassigned,None
Products & Ingredients,Search Index,Unified search index builder (products + ingredients + pages),,Unassigned,None
Products & Ingredients,Search Index,SearchResult shape (link category description),,Unassigned,None
Products & Ingredients,Search Index,Category filter,,Unassigned,None
Products & Ingredients,Search Index,First-letter matching,,Unassigned,None
Products & Ingredients,Search Index,9 canonical ingredients,,Unassigned,None
Products & Ingredients,Search Index,6 page entries,,Unassigned,None
Products & Ingredients,Mock Data,products.ts — full product database with all schema fields,,Unassigned,None
Products & Ingredients,Mock Data,Scales to Supabase when real data available,,Unassigned,None
Reviews & Community,Product Reviews,Review display with reviewer info,,Unassigned,None
Reviews & Community,Product Reviews,Similarity scoring (user-to-reviewer matching),,Unassigned,None
Reviews & Community,Product Reviews,Similarity tiers (Full >=70 Strong >=50 Partial >=30 Related >=15 None <15),,Unassigned,None
Reviews & Community,Product Reviews,Similarity badge with tier info,,Unassigned,None
Reviews & Community,Product Reviews,Match breakdown (skin type concerns complexion sensitivity lifestyle age),,Unassigned,None
Reviews & Community,Product Reviews,Helpful/report actions,,Unassigned,None
Reviews & Community,Product Reviews,Review sorting (most similar newest highest rated),,Unassigned,None
Reviews & Community,Product Reviews,Review filtering,,Unassigned,None
Reviews & Community,Product Reviews,ExplainWhyDropdown for similarity explanation,,Unassigned,None
Reviews & Community,Product Reviews,Aspect ratings,,Unassigned,None
Reviews & Community,Product Reviews,Review count display,,Unassigned,None
Reviews & Community,Product Reviews,Star rating display,,Unassigned,None
Reviews & Community,Reviewer Similarity Engine,calculateSimilarityWeight() — weighted scoring,,Unassigned,None
Reviews & Community,Reviewer Similarity Engine,Weights: skin type (40) concern (15 each) complexion (10) sensitivity (10) lifestyle (5) age (5),,Unassigned,None
Reviews & Community,Reviewer Similarity Engine,getTierBadgeInfo() — tier name color icon,,Unassigned,None
Reviews & Community,Reviewer Similarity Engine,isComplexionMatch() — Fitzpatrick proximity check,,Unassigned,None
Reviews & Community,Retailer Reviews,Retailer trust score display,,Unassigned,None
Reviews & Community,Retailer Reviews,Trust score explanation,,Unassigned,None
Reviews & Community,Retailer Reviews,Retailer-level aspect ratings (shipping service packaging authenticity),,Unassigned,None
Reviews & Community,Retailer Reviews,Retailer comparison,,Unassigned,None
Reviews & Community,Retailer Reviews,Sort by trust score price delivery,,Unassigned,None
Reviews & Community,Retailer Reviews,Filter by features,,Unassigned,None
Reviews & Community,Community Features,Community creation,,Unassigned,None
Reviews & Community,Community Features,Community membership (join/leave),,Unassigned,None
Reviews & Community,Community Features,Community feed (posts),,Unassigned,None
Reviews & Community,Community Features,Post creation (text + images),,Unassigned,None
Reviews & Community,Community Features,Post interactions (likes comments),,Unassigned,None
Reviews & Community,Community Features,Community discovery,,Unassigned,None
Reviews & Community,Community Features,My communities list,,Unassigned,None
Reviews & Community,Community Features,Member count,,Unassigned,None
Reviews & Community,Community Features,Community moderation framework,,Unassigned,None
Reviews & Community,Community Features,Content reporting,,Unassigned,None
Reviews & Community,Progress Sharing,Skin journey updates,,Unassigned,None
Reviews & Community,Progress Sharing,Progress photos (with privacy controls),,Unassigned,None
Reviews & Community,Progress Sharing,Optional sharing (never pressured),,Unassigned,None
Reviews & Community,Progress Sharing,Progress framing (neutral non-comparative),,Unassigned,None
Marketplace & Commerce,Marketplace Product Listing,Product grid with category browsing,,Unassigned,None
Marketplace & Commerce,Marketplace Product Listing,Search within marketplace,,Unassigned,None
Marketplace & Commerce,Marketplace Product Listing,Filter by category price rating,,Unassigned,None
Marketplace & Commerce,Marketplace Product Listing,Sort by relevance price newest,,Unassigned,None
Marketplace & Commerce,Marketplace Product Listing,Creator storefront attribution,,Unassigned,None
Marketplace & Commerce,Marketplace Product Listing,Trust score per seller,,Unassigned,None
Marketplace & Commerce,Marketplace Product Detail,Full product information,,Unassigned,None
Marketplace & Commerce,Marketplace Product Detail,Creator storefront link,,Unassigned,None
Marketplace & Commerce,Marketplace Product Detail,Stripe Checkout Buy Now button,,Unassigned,None
Marketplace & Commerce,Marketplace Product Detail,Subscription tier discount display (10% Plus 20% Premium),,Unassigned,None
Marketplace & Commerce,Marketplace Product Detail,Transaction tracking,,Unassigned,None
Marketplace & Commerce,Checkout Flow,create-marketplace-checkout Edge Function,,Unassigned,None
Marketplace & Commerce,Checkout Flow,Stripe Checkout Session creation,,Unassigned,None
Marketplace & Commerce,Checkout Flow,Platform fee calculation (10%),,Unassigned,None
Marketplace & Commerce,Checkout Flow,Creator payout calculation (90%),,Unassigned,None
Marketplace & Commerce,Checkout Flow,Subscription discount application,,Unassigned,None
Marketplace & Commerce,Checkout Flow,marketplace_transactions record (pending to completed),,Unassigned,None
Marketplace & Commerce,Checkout Flow,MarketplaceSuccessPage (confirmation),,Unassigned,None
Marketplace & Commerce,Payment Webhook,marketplace-payment-webhook Edge Function,,Unassigned,None
Marketplace & Commerce,Payment Webhook,Stripe signature verification,,Unassigned,None
Marketplace & Commerce,Payment Webhook,checkout.session.completed handler,,Unassigned,None
Marketplace & Commerce,Payment Webhook,payment_intent.succeeded handler,,Unassigned,None
Marketplace & Commerce,Payment Webhook,payment_intent.payment_failed handler,,Unassigned,None
Marketplace & Commerce,Payment Webhook,transfer.created handler (creator payout),,Unassigned,None
Marketplace & Commerce,Subscription / Tiers,subscription_plans table,,Unassigned,None
Marketplace & Commerce,Subscription / Tiers,Free / Plus / Premium tiers,,Unassigned,None
Marketplace & Commerce,Subscription / Tiers,create-subscription-checkout Edge Function,,Unassigned,None
Marketplace & Commerce,Subscription / Tiers,Stripe subscription checkout,,Unassigned,None
Marketplace & Commerce,Subscription / Tiers,Stripe customer creation/reuse,,Unassigned,None
Marketplace & Commerce,Subscription / Tiers,Stripe price/product creation,,Unassigned,None
Marketplace & Commerce,Subscription / Tiers,Tier-based marketplace discounts,,Unassigned,None
Marketplace & Commerce,Subscription / Tiers,Tier display in UI,,Unassigned,None
Marketplace & Commerce,Stripe Connect (Sellers),create-connect-account Edge Function,,Unassigned,None
Marketplace & Commerce,Stripe Connect (Sellers),Express account creation,,Unassigned,None
Marketplace & Commerce,Stripe Connect (Sellers),Onboarding link generation,,Unassigned,None
Marketplace & Commerce,Stripe Connect (Sellers),check-connect-status Edge Function,,Unassigned,None
Marketplace & Commerce,Stripe Connect (Sellers),Account verification (charges_enabled payouts_enabled),,Unassigned,None
Marketplace & Commerce,Stripe Connect (Sellers),create-connect-dashboard-link Edge Function,,Unassigned,None
Marketplace & Commerce,Stripe Connect (Sellers),stripe_connected_accounts table,,Unassigned,None
Marketplace & Commerce,Affiliate System,affiliate_partners table (tracking codes commission rates),,Unassigned,None
Marketplace & Commerce,Affiliate System,affiliate_clicks table (click tracking),,Unassigned,None
Marketplace & Commerce,Affiliate System,affiliate_transactions table (conversions cashback),,Unassigned,None
Marketplace & Commerce,Affiliate System,affiliate-conversion Edge Function (click to transaction),,Unassigned,None
Marketplace & Commerce,Affiliate System,affiliate-webhook Edge Function (external partner integration),,Unassigned,None
Marketplace & Commerce,Affiliate System,AffiliateRedirectPage (click tracking + redirect),,Unassigned,None
Marketplace & Commerce,Affiliate System,AffiliateDashboardPage (earnings display),,Unassigned,None
Marketplace & Commerce,Affiliate System,Cashback calculation (purchase_amount x commission_rate),,Unassigned,None
Marketplace & Commerce,Rewards / Points,curae_points table (user balance),,Unassigned,None
Marketplace & Commerce,Rewards / Points,points_transactions table (ledger),,Unassigned,None
Marketplace & Commerce,Rewards / Points,Point actions: signup (100) survey (50) review (25) community post (15) routine created (30) routine logged (5) purchase (1/$) referral (200) ingredient search (10) profile complete (75) monthly active (50),,Unassigned,None
Marketplace & Commerce,Rewards / Points,Tier thresholds: Bronze (0) Silver (500) Gold (2000) Platinum (5000),,Unassigned,None
Marketplace & Commerce,Rewards / Points,PointsDisplay component (tier balance progress),,Unassigned,None
Marketplace & Commerce,Rewards / Points,PointsEarnedNotification (toast),,Unassigned,None
Marketplace & Commerce,Rewards / Points,Point redemption,,Unassigned,None
Marketplace & Commerce,Rewards / Points,Transaction history,,Unassigned,None
Marketplace & Commerce,Cart,Cart state management (cartState),,Unassigned,None
Marketplace & Commerce,Cart,Add/remove/update quantity,,Unassigned,None
Marketplace & Commerce,Cart,Cart count badge,,Unassigned,None
Marketplace & Commerce,Cart,Persist across sessions (localStorage),,Unassigned,None
Marketplace & Commerce,Cart,Checkout integration,,Unassigned,None
AI Systems,Chat Client,callAIChatAPI() — Supabase Edge Function caller,,Unassigned,None
AI Systems,Chat Client,getClientContext() — gathers saved products recently viewed categories searches,,Unassigned,None
AI Systems,Chat Client,Conversation history management,,Unassigned,None
AI Systems,Chat Client,Settings: tone detail level response style custom instructions,,Unassigned,None
AI Systems,AI Chat Edge Function,Anthropic Claude API integration (claude-3-5-sonnet),,Unassigned,None
AI Systems,AI Chat Edge Function,System prompt with skincare domain knowledge,,Unassigned,None
AI Systems,AI Chat Edge Function,User profile context injection,,Unassigned,None
AI Systems,AI Chat Edge Function,Routine notes context,,Unassigned,None
AI Systems,AI Chat Edge Function,Product recommendation logic,,Unassigned,None
AI Systems,AI Chat Edge Function,Ingredient intelligence,,Unassigned,None
AI Systems,AI Chat Edge Function,Routine building guidance,,Unassigned,None
AI Systems,AI Chat Edge Function,Safety guardrails (no medical claims),,Unassigned,None
AI Systems,AI Chat Edge Function,Domain restriction (skincare only),,Unassigned,None
AI Systems,AI Chat Edge Function,Tone enforcement (calm premium educational),,Unassigned,None
AI Systems,Conversation Memory,ConversationMemory class,,Unassigned,None
AI Systems,Conversation Memory,Memory categories: skin profile product preferences budget experience level ingredient preferences routine preferences goals product history,,Unassigned,None
AI Systems,Conversation Memory,Confidence levels: explicit inferred,,Unassigned,None
AI Systems,Conversation Memory,Memory persistence,,Unassigned,None
AI Systems,Intelligence Modules,embeddings.ts — vector embeddings for semantic search,,Unassigned,None
AI Systems,Intelligence Modules,vectorStore.ts — vector database management,,Unassigned,None
AI Systems,Intelligence Modules,retrievalPipeline.ts — RAG pipeline,,Unassigned,None
AI Systems,Intelligence Modules,productIngestion.ts — product data vectorization,,Unassigned,None
AI Systems,Intelligence Modules,chatRetrieval.ts — retrieval for chat context,,Unassigned,None
AI Systems,Intelligence Modules,knowledgeBase.ts — ingredient encyclopedia,,Unassigned,None
AI Systems,Intelligence Modules,routineBuilder.ts — AI-assisted routine building,,Unassigned,None
AI Systems,Intelligence Modules,ingredientIntelligence.ts — ingredient safety & compatibility,,Unassigned,None
AI Systems,Intelligence Modules,concernIntelligence.ts — concern-specific reasoning,,Unassigned,None
AI Systems,Intelligence Modules,skinProfileIntelligence.ts — skin type analysis,,Unassigned,None
AI Systems,Intelligence Modules,searchRetrievalIntelligence.ts — search query understanding,,Unassigned,None
AI Systems,Intelligence Modules,communicationIntelligence.ts — tone detection & response style,,Unassigned,None
AI Systems,Intelligence Modules,errorHandlingIntelligence.ts — error detection & recovery,,Unassigned,None
AI Systems,Intelligence Modules,workflowIntelligence.ts — workflow detection & management,,Unassigned,None
AI Systems,Intelligence Modules,shoppingIntelligence.ts — product filtering & comparison,,Unassigned,None
AI Systems,Intelligence Modules,routineOptimizationIntelligence.ts — routine conflict/ordering,,Unassigned,None
AI Systems,Intelligence Modules,intentClassificationIntelligence.ts — user intent detection,,Unassigned,None
AI Systems,Intelligence Modules,responseFormattingIntelligence.ts — response structure,,Unassigned,None
AI Systems,Intelligence Modules,reasoningChainIntelligence.ts — multi-step reasoning,,Unassigned,None
AI Systems,Intelligence Modules,modeSwitchingIntelligence.ts — context switching,,Unassigned,None
AI Systems,Intelligence Modules,dataValidationIntelligence.ts — input validation,,Unassigned,None
AI Systems,Intelligence Modules,productIntelligence.ts — product-specific knowledge,,Unassigned,None
AI Systems,Intelligence Modules,behavioralIntelligence.ts — user behavior analysis,,Unassigned,None
AI Systems,Intelligence Modules,navigationIntelligence.ts — route recommendation,,Unassigned,None
AI Systems,Intelligence Modules,index.ts — module exports,,Unassigned,None
AI Systems,Adaptive AI (Legacy),AdaptiveAIEngine,,Unassigned,None
AI Systems,Adaptive AI (Legacy),Topic detection (routine products ingredients skin-analysis concerns),,Unassigned,None
AI Systems,Adaptive AI (Legacy),Intent detection (information learning recommendation troubleshooting comparison),,Unassigned,None
AI Systems,Adaptive AI (Legacy),Contextual response generation,,Unassigned,None
AI Systems,Product Retrieval (Legacy),retrieveProducts() — relevance scoring,,Unassigned,None
AI Systems,Product Retrieval (Legacy),retrieveByCategory(),,Unassigned,None
AI Systems,Product Retrieval (Legacy),retrieveRoutineProducts(),,Unassigned,None
AI Systems,Product Retrieval (Legacy),searchByIngredient(),,Unassigned,None
AI Systems,Product Retrieval (Legacy),Budget range filtering (budget mid premium),,Unassigned,None
AI Systems,Product Retrieval (Legacy),formatProductForResponse() formatRecommendations(),,Unassigned,None
AI Systems,AI Personalization Integration,Profile-aware recommendations,,Unassigned,None
AI Systems,AI Personalization Integration,Saved product context,,Unassigned,None
AI Systems,AI Personalization Integration,Recently viewed context,,Unassigned,None
AI Systems,AI Personalization Integration,Frequent category context,,Unassigned,None
AI Systems,AI Personalization Integration,Search history context,,Unassigned,None
AI Systems,AI Personalization Integration,Routine notes context,,Unassigned,None
AI Systems,AI Personalization Integration,Concern-to-ingredient mapping,,Unassigned,None
AI Systems,AI Personalization Integration,Conflict-aware suggestions,,Unassigned,None
Shared Components,Layout Components,AppLayout (root wrapper: Navbar + Outlet + Footer),,Unassigned,None
Shared Components,Layout Components,PageWrapper (page styling safe area brand CSS),,Unassigned,None
Shared Components,Layout Components,Navbar (mobile menu search cart profile dropdown scroll-based styling),,Unassigned,None
Shared Components,Layout Components,Footer (links newsletter motion effects),,Unassigned,None
Shared Components,Feature Components,ProfileDropdown (guest/auth states badges quick stats sign out),,Unassigned,None
Shared Components,Feature Components,SearchOverlay (product/ingredient/page search recently viewed keyboard navigation),,Unassigned,None
Shared Components,Feature Components,ComparisonPickerModal (select up to 3 products side-by-side metrics PPML),,Unassigned,None
Shared Components,Feature Components,RetailerComparisonModal (3-column grid price breakdown trust score),,Unassigned,None
Shared Components,Feature Components,CompatibleWith (4-column product grid compatibility badges),,Unassigned,None
Shared Components,Feature Components,SafetyBadge (not-recommended / caution compact & expanded tooltip),,Unassigned,None
Shared Components,Feature Components,PointsDisplay (tier balance progress bar benefits),,Unassigned,None
Shared Components,Feature Components,PointsEarnedNotification (auto-dismiss toast),,Unassigned,None
Shared Components,Feature Components,Toast (notification with auto-dismiss),,Unassigned,None
Shared Components,Feature Components,ScrollToTop (scroll restoration on route change),,Unassigned,None
Shared Components,Feature Components,LastVisitedPageRestorer (session continuity),,Unassigned,None
Shared Components,Feature Components,PersistenceDebugPanel (dev-only localStorage viewer),,Unassigned,None
Shared Components,UI Components,Dropdown (accessible select alternative),,Unassigned,None
Shared Components,UI Components,Skeleton / SkeletonCard / SkeletonText (loading placeholders),,Unassigned,None
Shared Components,UI Components,ConcentrationRow (ingredient concentration display),,Unassigned,None
Shared Components,Shared Components,ExplainWhyDropdown (expandable explanation),,Unassigned,None
Shared Components,Icon Components,NeuralBloomIcon (Curae AI brand symbol),,Unassigned,None
Database & Backend,Database Tables — Core,auth.users (Supabase Auth built-in),,Unassigned,None
Database & Backend,Database Tables — Core,users_profiles (profiles subscription tier skin data preferences),,Unassigned,None
Database & Backend,Database Tables — Routines,user_routines (routine data with JSONB steps),,Unassigned,None
Database & Backend,Database Tables — Routines,routine_versions (version history snapshots),,Unassigned,None
Database & Backend,Database Tables — Routines,routine_usage_events (analytics events),,Unassigned,None
Database & Backend,Database Tables — Routines,routine_notes (per-routine notes),,Unassigned,None
Database & Backend,Database Tables — Routines,routine-photos (Supabase Storage bucket),,Unassigned,None
Database & Backend,Database Tables — Marketplace,marketplace_products (seller products),,Unassigned,None
Database & Backend,Database Tables — Marketplace,marketplace_storefronts (seller storefronts),,Unassigned,None
Database & Backend,Database Tables — Marketplace,marketplace_transactions (purchase records),,Unassigned,None
Database & Backend,Database Tables — Marketplace,stripe_connected_accounts (seller Stripe accounts),,Unassigned,None
Database & Backend,Database Tables — Marketplace,subscription_plans (tier definitions),,Unassigned,None
Database & Backend,Database Tables — Affiliate,affiliate_partners (partner configs),,Unassigned,None
Database & Backend,Database Tables — Affiliate,affiliate_clicks (click tracking),,Unassigned,None
Database & Backend,Database Tables — Affiliate,affiliate_transactions (conversion records),,Unassigned,None
Database & Backend,Database Tables — Rewards,curae_points (user balance),,Unassigned,None
Database & Backend,Database Tables — Rewards,points_transactions (ledger),,Unassigned,None
Database & Backend,Database Tables — Community,communities (user-created communities),,Unassigned,None
Database & Backend,Database Tables — Community,community_members (membership),,Unassigned,None
Database & Backend,Database Tables — Community,community_posts (posts),,Unassigned,None
Database & Backend,Database Tables — Data Impact,data_impact_contributions (opt-in tracking),,Unassigned,None
Database & Backend,Database Tables — Data Impact,anonymized_data_points (anonymized behavior data),,Unassigned,None
Database & Backend,Database Tables — Nutrition,meal_plans,,Unassigned,None
Database & Backend,Database Tables — Nutrition,nutrient_goals,,Unassigned,None
Database & Backend,Database Tables — Nutrition,daily_nutrient_intake,,Unassigned,None
Database & Backend,Database Tables — Nutrition,nutrition_foods,,Unassigned,None
Database & Backend,Database Tables — Nutrition,saved_meals,,Unassigned,None
Database & Backend,Database Tables — Other,creator_waitlist (seller applications),,Unassigned,None
Database & Backend,Database Tables — Other,avatars (avatar images),,Unassigned,None
Database & Backend,SQL Migrations,user_routines table creation,,Unassigned,None
Database & Backend,SQL Migrations,routine_usage_events table creation,,Unassigned,None
Database & Backend,SQL Migrations,creator_waitlist table creation,,Unassigned,None
Database & Backend,SQL Migrations,routine_versions table creation,,Unassigned,None
Database & Backend,SQL Migrations,users_profiles survey_completed column,,Unassigned,None
Database & Backend,SQL Migrations,Missing migrations for 22 application tables (need supabase db pull),,Unassigned,None
Database & Backend,RLS Policies,user_routines: SELECT INSERT UPDATE DELETE scoped to auth.uid(),,Unassigned,None
Database & Backend,RLS Policies,routine_versions: SELECT INSERT scoped to auth.uid(),,Unassigned,None
Database & Backend,RLS Policies,routine_usage_events: SELECT INSERT scoped to auth.uid(),,Unassigned,None
Database & Backend,RLS Policies,creator_waitlist: SELECT INSERT scoped to auth.uid(),,Unassigned,None
Database & Backend,RLS Policies,users_profiles: RLS policies (need verification),,Unassigned,None
Database & Backend,RLS Policies,Missing RLS for marketplace affiliate community nutrition tables,,Unassigned,None
Database & Backend,Edge Functions,affiliate-conversion (click to transaction),,Unassigned,None
Database & Backend,Edge Functions,affiliate-webhook (external partner webhook),,Unassigned,None
Database & Backend,Edge Functions,ai-chat (Claude AI skincare assistant),,Unassigned,None
Database & Backend,Edge Functions,check-connect-status (Stripe Connect status),,Unassigned,None
Database & Backend,Edge Functions,create-connect-account (Stripe Connect onboarding),,Unassigned,None
Database & Backend,Edge Functions,create-connect-dashboard-link (seller dashboard link),,Unassigned,None
Database & Backend,Edge Functions,create-marketplace-checkout (Stripe Checkout for marketplace),,Unassigned,None
Database & Backend,Edge Functions,create-subscription-checkout (Stripe subscription checkout),,Unassigned,None
Database & Backend,Edge Functions,data-anonymization (anonymize user data for research),,Unassigned,None
Database & Backend,Edge Functions,marketplace-payment-webhook (Stripe payment webhook),,Unassigned,None
Database & Backend,Edge Functions,geocode-location (server-side geocoding),,Unassigned,None
Database & Backend,Edge Functions,get-uv-index (server-side UV lookup),,Unassigned,None
Database & Backend,Edge Functions,password-check (early-access password validation),,Unassigned,None
Database & Backend,External API Integrations,Anthropic Claude (AI chat),,Unassigned,None
Database & Backend,External API Integrations,Stripe (payments subscriptions Connect),,Unassigned,None
Database & Backend,External API Integrations,OpenCage (geocoding),,Unassigned,None
Database & Backend,External API Integrations,OpenUV (UV index),,Unassigned,None
Database & Backend,Supabase Clients,supabase-browser.ts (frontend client with persistence + auto-refresh),,Unassigned,None
Database & Backend,Supabase Clients,supabase.ts (types profile CRUD operations),,Unassigned,None
State Management,Observable State Managers,sessionState (user interactions preferences personalization context),,Unassigned,None
State Management,Observable State Managers,cartState (cart items quantities),,Unassigned,None
State Management,Observable State Managers,savedProductsState / favoritesState (saved products with Supabase sync),,Unassigned,None
State Management,Observable State Managers,recentlyViewedState (recently viewed products max 10),,Unassigned,None
State Management,Observable State Managers,locationState (user location with lat/lon hemisphere),,Unassigned,None
State Management,Observable State Managers,routineCompletionState (daily completion tracking),,Unassigned,None
State Management,Observable State Managers,routineProgressState (routine builder resume),,Unassigned,None
State Management,Personalization Engine,personalizationEngine.ts (rule-based recommendations),,Unassigned,None
State Management,Personalization Engine,generateProductRecommendations(),,Unassigned,None
State Management,Personalization Engine,generateAIResponse(),,Unassigned,None
State Management,Personalization Engine,analyzeProgress(),,Unassigned,None
State Management,Personalization Engine,generateRoutineSuggestions(),,Unassigned,None
State Management,Personalization Engine,compareProducts(),,Unassigned,None
State Management,Personalization Engine,Daily logs (skin condition 1-5 mood product usage),,Unassigned,None
State Management,Matching Utilities,matching.ts (concern synonym mapping ingredient matching),,Unassigned,None
State Management,Matching Utilities,reviewSimilarity.ts (user-to-reviewer matching),,Unassigned,None
State Management,Matching Utilities,productSimilarity.ts (product-to-user matching),,Unassigned,None
State Management,Matching Utilities,productSafety.ts (safety assessment),,Unassigned,None
State Management,Hooks,useLocalStorageState<T>() (generic localStorage hook),,Unassigned,None
State Management,Hooks,useDocumentTitle() (page title management),,Unassigned,None
State Management,Hooks,useUserLocation() (location state hook),,Unassigned,None
State Management,Hooks,useEnvironmentContext() (environment data hook),,Unassigned,None
State Management,Hooks,useCartCount() useCartItems(),,Unassigned,None
State Management,Hooks,useSavedProducts() useSavedProductStatus(),,Unassigned,None
State Management,Hooks,useRecentlyViewed(),,Unassigned,None
State Management,Hooks,useRoutineCompletion(),,Unassigned,None
State Management,Hooks,useRoutineProgress(),,Unassigned,None
State Management,Hooks,useSessionState(),,Unassigned,None
State Management,Hooks,useAuth(),,Unassigned,None
State Management,Environment Context,EnvironmentContext type (location UV climate season source),,Unassigned,None
State Management,Environment Context,buildEnvironmentContext() (pipeline orchestrator),,Unassigned,None
State Management,Environment Context,inferClimate() (Koppen-like classification),,Unassigned,None
State Management,Environment Context,inferSeason() (hemisphere + date),,Unassigned,None
State Management,Environment Context,inferHemisphere() (lat to hemisphere),,Unassigned,None
State Management,Environment Context,getUvIndex() (Edge Function caller),,Unassigned,None
State Management,Environment Context,useEnvironmentContext() (React hook),,Unassigned,None
State Management,Persistence Layers,localStorage (guest state: cart saved products survey routines location session),,Unassigned,None
State Management,Persistence Layers,Supabase (auth state: profile routines versions events points),,Unassigned,None
State Management,Persistence Layers,Session memory (in-memory during session via sessionState),,Unassigned,None
Error & Empty States,Page-Level Error States,Product not found (product detail with invalid ID),,Unassigned,None
Error & Empty States,Page-Level Error States,Route not found (404 NotFoundPage),,Unassigned,None
Error & Empty States,Page-Level Error States,Auth required (redirect to login),,Unassigned,None
Error & Empty States,Page-Level Error States,Profile loading error,,Unassigned,None
Error & Empty States,Page-Level Error States,Network failure fallback,,Unassigned,None
Error & Empty States,Component-Level Empty States,No products match filters (Discover),,Unassigned,None
Error & Empty States,Component-Level Empty States,No saved products (Account),,Unassigned,None
Error & Empty States,Component-Level Empty States,No routines (Routines List),,Unassigned,None
Error & Empty States,Component-Level Empty States,No reviews (Product Detail reviews tab),,Unassigned,None
Error & Empty States,Component-Level Empty States,No communities joined (Community),,Unassigned,None
Error & Empty States,Component-Level Empty States,No posts in community feed,,Unassigned,None
